ts,gpu_C,sm_MHz,mem_MHz,power_W,util_pct
2026/04/2823:41:52.807,41,450,810,5.39,27
2026/04/2823:41:53.885,41,1980,8001,5.49,29
2026/04/2823:41:54.930,43,1980,8001,15.77,36
2026/04/2823:41:55.979,43,1980,8001,15.79,25
2026/04/2823:41:57.047,43,1980,8001,15.92,36
2026/04/2823:41:58.110,43,2235,8001,18.36,42
2026/04/2823:41:59.177,55,2235,8001,62.01,100
2026/04/2823:42:00.250,55,2235,8001,55.53,100
2026/04/2823:42:01.318,56,2235,8001,82.95,99
2026/04/2823:42:02.382,62,2235,8001,102.47,99
2026/04/2823:42:03.430,62,2235,8001,101.99,99
2026/04/2823:42:04.483,63,2235,8001,105.07,99
2026/04/2823:42:05.539,63,2235,8001,101.28,99
2026/04/2823:42:06.591,64,2235,8001,102.35,98
2026/04/2823:42:07.639,64,2235,8001,102.15,98
2026/04/2823:42:08.682,64,2235,8001,104.31,98
2026/04/2823:42:09.732,65,2235,8001,103.29,99
2026/04/2823:42:10.785,65,2235,8001,102.60,99
2026/04/2823:42:11.835,66,2235,8001,101.83,99
2026/04/2823:42:12.884,66,2235,8001,101.09,98
2026/04/2823:42:13.932,51,2235,8001,17.33,8
2026/04/2823:42:15.005,50,2235,8001,18.76,36
2026/04/2823:42:16.071,63,2235,8001,88.76,99
2026/04/2823:42:17.116,66,2235,8001,87.63,100
2026/04/2823:42:18.174,67,2235,8001,100.26,98
2026/04/2823:42:19.225,67,2235,8001,104.69,99
2026/04/2823:42:20.270,68,2235,8001,106.09,99
2026/04/2823:42:21.333,70,2235,8001,113.33,99
2026/04/2823:42:22.401,70,2235,8001,113.38,99
2026/04/2823:42:23.461,69,2235,8001,104.66,99
2026/04/2823:42:24.506,70,2235,8001,105.27,99
2026/04/2823:42:25.571,69,2235,8001,104.96,99
2026/04/2823:42:26.625,70,2235,8001,105.43,98
2026/04/2823:42:27.671,70,2235,8001,92.68,99
2026/04/2823:42:28.726,71,2235,8001,109.16,98
2026/04/2823:42:29.774,55,2235,8001,49.29,25
2026/04/2823:42:30.822,53,2235,8001,19.16,34
2026/04/2823:42:31.872,68,2235,8001,91.92,99
2026/04/2823:42:32.939,69,2235,8001,90.19,100
2026/04/2823:42:33.985,70,2235,8001,107.15,99
2026/04/2823:42:35.052,71,2235,8001,108.35,98
2026/04/2823:42:36.117,71,2235,8001,107.86,99
2026/04/2823:42:37.179,71,2235,8001,107.06,98
2026/04/2823:42:38.223,71,2235,8001,106.62,98
2026/04/2823:42:39.276,72,2235,8001,106.15,99
2026/04/2823:42:40.324,72,2235,8001,105.98,99
2026/04/2823:42:41.371,72,2235,8001,106.21,99
2026/04/2823:42:42.435,73,2220,8001,110.85,99
2026/04/2823:42:43.484,74,2220,8001,113.16,99
2026/04/2823:42:44.526,73,2220,8001,105.49,99
2026/04/2823:42:45.576,59,2235,8001,18.27,8
2026/04/2823:42:46.645,56,2235,8001,19.48,37
2026/04/2823:42:47.701,70,2235,8001,93.77,100
2026/04/2823:42:48.770,72,2220,8001,91.77,99
2026/04/2823:42:49.837,72,2220,8001,108.03,99
2026/04/2823:42:50.894,74,2220,8001,112.56,99
2026/04/2823:42:51.962,74,2220,8001,115.50,99
2026/04/2823:42:53.009,75,2220,8001,114.04,98
2026/04/2823:42:54.079,75,2220,8001,111.24,98
2026/04/2823:42:55.142,74,2220,8001,105.88,98
2026/04/2823:42:56.209,74,2220,8001,106.27,99
2026/04/2823:42:57.275,74,2220,8001,105.96,98
2026/04/2823:42:58.322,74,2220,8001,105.22,99
2026/04/2823:42:59.387,74,2220,8001,105.15,99
2026/04/2823:43:00.463,74,2220,8001,105.47,99
2026/04/2823:43:01.521,61,2235,8001,18.43,7
2026/04/2823:43:02.573,58,2235,8001,17.77,7
2026/04/2823:43:03.639,55,600,6001,7.15,13
2026/04/2823:43:04.707,54,465,6001,7.02,18
2026/04/2823:43:05.755,54,360,810,5.73,28
2026/04/2823:43:06.798,53,330,810,5.57,28
2026/04/2823:43:07.868,53,405,405,3.62,50
2026/04/2823:43:08.913,52,450,810,5.44,25
2026/04/2823:43:09.961,52,450,810,5.51,29
2026/04/2823:43:11.007,52,435,810,5.49,28
2026/04/2823:43:12.076,52,435,810,5.14,24
2026/04/2823:43:13.142,51,420,810,5.47,28
2026/04/2823:43:14.201,51,390,405,3.83,43
2026/04/2823:43:15.269,51,465,810,5.46,28
2026/04/2823:43:16.323,50,345,405,5.11,49
2026/04/2823:43:17.393,50,435,810,5.58,30
2026/04/2823:43:18.456,50,345,405,5.05,36
2026/04/2823:43:19.503,50,420,810,5.22,28
2026/04/2823:43:20.563,49,315,405,2.60,36
2026/04/2823:43:21.612,49,480,810,4.82,0
2026/04/2823:43:22.671,49,210,405,2.12,3
2026/04/2823:43:23.745,49,330,405,2.52,45
2026/04/2823:43:24.789,49,420,810,5.44,25
2026/04/2823:43:25.855,49,420,810,5.30,23
2026/04/2823:43:26.918,48,405,405,2.49,41
2026/04/2823:43:27.989,48,450,810,5.29,21
2026/04/2823:43:29.050,48,315,405,4.90,42
2026/04/2823:43:30.113,48,420,810,3.28,25
2026/04/2823:43:31.164,47,420,810,5.38,23
